Atom	alpha	C_6	C_8
H	4.5	6.5	124.4
He	1.38	1.46	14.123
Li	164.2	1387	83400
Be	38	214	10230
B	21	99.5	0
C	12	46.6	0
N	7.4	24.2	0
O	5.4	15.6	0
F	3.8	9.52	0
Ne	2.67	6.38	90.265
Na	162.7	1556	116000
Mg	71	627	41500
Al	60	528	0
Si	37	305	0
P	25	185	0
S	19.6	134	0
Cl	15	94.6	0
Ar	11.1	64.3	1621.5
K	292.9	3897	420000
Ca	160	2221	223000
Sc	120	1383	0
Ti	98	1044	0
V	84	832	0
Cr	78	602	0
Mn	63	552	0
Fe	56	482	0
Co	50	408	0
Ni	48	373	0
Cu	42	253	0
Zn	40	284	0
Ga	60	498	0
Ge	41	354	0
As	29	246	0
Se	25	210	0
Br	20	162	0
Kr	16.8	129.6	4040
Rb	319.2	4691	577000
Sr	199	3170	379200
Y	126.74	1968.58	0
Zr	119.97	1677.91	0
Nb	101.6	1263.61	0
Mo	88.42	1028.73	0
Tc	80.08	1390.87	0
Ru	65.89	609.75	0
Rh	56.1	469	0
Pd	23.68	157.5	0
Ag	50.6	339	0
Cd	39.7	452	0
In	70.22	707.05	0
Sn	55.95	587.42	0
Sb	43.67	459.32	0
Te	37.65	396	0
I	35	385	0
Xe	27.3	285.9	12004
Cs	399.9	6846	1020000
Ba	275	5727	772000
La	213.7	3884.5	0
Ce	204.7	3708.33	0
Pr	215.8	3911.84	0
Nd	208.4	3908.75	0
Pm	200.2	3847.68	0
Sm	192.1	3708.69	0
Eu	184.2	3511.71	0
Gd	158.3	2781.53	0
Tb	169.5	3124.41	0
Dy	164.64	2984.29	0
Ho	156.3	2839.95	0
Er	150.2	2724.12	0
Tm	144.3	2576.78	0
Yb	138.9	2387.53	0
Lu	137.2	2371.8	0
Hf	99.52	1274.8	0
Ta	82.53	1019.92	0
W	71.04	847.93	0
Re	63.04	710.2	0
Os	55.06	596.67	0
Ir	42.51	359.1	0
Pt	39.68	347.1	0
Au	36.5	298	0
Hg	33.9	392	0
Tl	69.92	717.44	0
Pb	61.8	697	0
Bi	49.02	571	0
Po	45.01	530.92	0
At	38.93	457.53	0
Rn	33.54	390.63	0
Fr	317.8	4224.44	0
Ra	246.2	4851.32	0
Ac	203.3	3604.41	0
Th	217	4047.54	0
Pa	154.4	2367.42	0
U	127.8	1877.1	0
Np	150.5	2507.88	0
Pu	132.2	2117.27	0
Am	131.2	2110.98	0
Cm	143.6	2403.22	0
Bk	125.3	1985.82	0
Cf	121.5	1891.92	0
Es	117.5	1851.1	0
Fm	113.4	1787.07	0
Md	109.4	1701	0
No	105.4	1578.18	0
